PODATE,POTYPE,WP,CUSTNAME,PONO,ITEMNO,MATNO,MATNAME,POQTY,DELIVERYDATE,DEVERYQTY,Delivery Status
2021.03.10,OR10,DB40,?欖澕?奠儊,1747898,270,1000886,ILBAN B 72 INCH ??40,2021.03.10,40,?╉拡?勲,
2021.03.10,OR10,DB20,?滌嫚?レ晫?ろ厡??1747907,20,1000886,ILBAN B 72 INCH ??4,2021.03.10,4,?╉拡?勲,,
2021.03.11,OR10,DB10,?膘毎?侅偓,1748083,290,1000886,ILBAN B 72 INCH ??20,2021.03.11,20,?╉拡?勲,
2021.03.11,OR10,DB40,?欖澕?奠儊,1748101,10,1000886,ILBAN B 72 INCH ??20,2021.03.11,20,?╉拡?勲,
2021.03.11,OR10,DB20,?胳檿?办梾,1748142,240,1000886,ILBAN B 72 INCH ??6,2021.03.11,6,?╉拡?勲,
2021.03.11,OR10,DB20,?滉父?办梾,1748164,90,1000886,ILBAN B 72 INCH ??20,2021.03.11,20,?╉拡?勲,
2021.03.11,OR10,DB40,?欖澕氩姼??1748295,30,1000886,ILBAN B 72 INCH ??40,2021.03.11,40,?╉拡?勲,,
2021.03.11,OR10,DB40,?欖澕氩姼??1748336,70,1000886,ILBAN B 72 INCH ??10,2021.03.11,10,?╉拡?勲,,
2021.03.11,OR10,DB10,欤检嫕?岇偓 ?欖澕氩姼,1748368,100,1000886,ILBAN B 72 INCH ??10,2021.03.11,10,?╉拡?勲,
2021.03.12,OR10,DB40,???欖澕,1748507,10,1000886,ILBAN B 72 INCH ??20,2021.03.12,20,?╉拡?勲,
